song_name,url,title,channel,duration,view_count,selection_score,selection_reason,video_id
I Do,https://www.youtube.com/watch?v=wIgduzASI6A,Jay Chou 周杰倫【I Do】Official Music Video,周杰倫 Jay Chou,217,10768255,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,wIgduzASI6A
Mine Mine,https://www.youtube.com/watch?v=me7jfhFIZvk,周杰倫 Jay Chou【Mine Mine】Official MV,周杰倫 Jay Chou,267,25047163,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,me7jfhFIZvk
Mojito,https://www.youtube.com/watch?v=-biOGdYiF-I,"周杰倫 Jay Chou【Mojito】Official MV ★ Check out ""J-Style Trip"" on Netflix -Travelogue, Magic and Fun!",周杰倫 Jay Chou,189,45101436,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,-biOGdYiF-I
Now You See Me,https://www.youtube.com/watch?v=LbUKhXO2oCs,周杰倫 Jay Chou 【Now You See Me】Official MV (120s),周杰倫 Jay Chou,125,7635528,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,LbUKhXO2oCs
Six Degrees,https://www.youtube.com/watch?v=s__iJysWkCY,Patrick Brasca & Jay Chou【Six Degrees】,周杰倫 Jay Chou,201,8911847,130,official-channel;song-length;views-tiebreaker,s__iJysWkCY
一口氣全唸對,https://www.youtube.com/watch?v=C18nyaRnR1Q,周杰倫 Jay Chou【一口氣全唸對 One Breath】Official MV,周杰倫 Jay Chou,163,7734975,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,C18nyaRnR1Q
一路向北,https://www.youtube.com/watch?v=L229QDxDakU,周杰倫 Jay Chou【一路向北 All the Way North】-Official Music Video,周杰倫 Jay Chou,302,106003156,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,L229QDxDakU
一點點,https://www.youtube.com/watch?v=COhiu3c7Sgc,周杰倫 Jay Chou【一點點 A Little Bit】Official MV,周杰倫 Jay Chou,220,10774325,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,COhiu3c7Sgc
七月的極光,https://www.youtube.com/watch?v=PJyFND4-zR4,Jay Chou 周杰倫【Aurora in July 七月的極光】Official Music Video,周杰倫 Jay Chou,190,3734525,176,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,PJyFND4-zR4
七里香,https://www.youtube.com/watch?v=Bbp9ZaJD_eA,周杰倫 Jay Chou【七里香 Orange Jasmine】-Official Music Video,周杰倫 Jay Chou,304,81084049,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,Bbp9ZaJD_eA
三年二班,https://www.youtube.com/watch?v=_trE3M24kQY,周杰倫 Jay Chou【三年二班 Class 3-2】-Official Music Video,周杰倫 Jay Chou,460,7944342,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,_trE3M24kQY
上海一九四三,https://www.youtube.com/watch?v=CcfnZOJpbM4,周杰倫 Jay Chou【上海 一九四三 Shanghai 1943】Official MV,周杰倫 Jay Chou,210,8145621,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,CcfnZOJpbM4
不愛我就拉倒,https://www.youtube.com/watch?v=MAjY8mCTXWk,"周杰倫 Jay Chou【不愛我就拉倒 If You Don't Love Me, It's Fine】Official MV 發燒影片華語地區蟬聯第一 美國直衝前二",周杰倫 Jay Chou,251,54127752,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,MAjY8mCTXWk
不能說的祕密,https://www.youtube.com/watch?v=uIWypArI73w,周杰倫 Jay Chou【不能說的祕密 Secret】-Official Music Video,周杰倫 Jay Chou,336,50076597,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,uIWypArI73w
不該,https://www.youtube.com/watch?v=_VxLOj3TB5k,周杰倫Jay Chou X aMEI【不該 Shouldn't Be】Official MV,周杰倫 Jay Chou,294,186330819,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,_VxLOj3TB5k
世界末日,https://www.youtube.com/watch?v=NDFULbHgL6E,周杰倫 Jay Chou【世界末日 End of the World】Official MV,周杰倫 Jay Chou,263,7397292,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,NDFULbHgL6E
亂舞春秋,https://www.youtube.com/watch?v=2Tg3uzSAkXk,周杰倫 Jay Chou【亂舞春秋 Chaotic Dance】-Official Music Video,周杰倫 Jay Chou,288,3353704,175,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,2Tg3uzSAkXk
以父之名,https://www.youtube.com/watch?v=9q7JOQfcJQM,周杰倫 Jay Chou【以父之名 In The Name of The Father】-Official Music Video,周杰倫 Jay Chou,364,21181105,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,9q7JOQfcJQM
伊斯坦堡,https://www.youtube.com/watch?v=s9wvjSkR_Ms,周杰倫Jay Chou【伊斯坦堡 Istanbul】-Official Music Video,周杰倫 Jay Chou,208,2740171,173,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,s9wvjSkR_Ms
你好嗎,https://www.youtube.com/watch?v=Wrbjahfg8RM,周杰倫 Jay Chou【你好嗎 How Are You】Official MV,周杰倫 Jay Chou,222,15987487,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,Wrbjahfg8RM
你比從前快樂,https://www.youtube.com/watch?v=X_XqvQJi_6E,周杰倫 Jay Chou【你比從前快樂 You Are Happier Than Before】Official MV,周杰倫 Jay Chou,201,3153799,174,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,X_XqvQJi_6E
